Gene	Endotype	is_seed
CACNA2D3	10	1
CACNB1	10	0
CACNB2	10	1
CACNB4	10	0
CADPS	10	0
CADPS2	10	0
CAGE1	10	0
CALB1	10	1
CALCA	10	1
CALML5	10	0
CAND2	10	0
CANX	10	0
CAT	10	0
CAV3	10	0
CBARP	10	0
CBS	10	1
CCDC190	10	1
CD200	10	0
CD209	10	0
CD33	10	0
CD74	10	0
CDC27	10	0
CDC37	10	0
CDCA3	10	1
CDH12	10	1
CDH18	10	1
CDH5	10	0
CDH6	10	0
CDH7	10	0
CDH8	10	0
CDH9	10	0
CDIP1	10	0
CDK1	10	0
CDK2	10	0
CDK4	10	0
CDK5	10	1
CDK5R1	10	1
CDK6	10	0
CDK9	10	0
CDKN1A	10	0
CDKN2A	10	0
CEACAM21	10	0
CELF4	10	0
CENPM	10	0
CERS2	10	0
CERS5	10	0
CFDP1	10	1
CHD3	10	0
CHRDL2	10	0
CHRNA1	10	1
CHRNA2	10	0
CHRNA3	10	1
CHRNA4	10	1
CHRNA5	10	1
CHRNA7	10	1
CHRNB2	10	1
CHRNB4	10	1
CHRND	10	0
CHRNE	10	0
CHRNG	10	0
CHST3	10	1
CIR1	10	0
CISD2	10	0
CLIC5	10	1
CLN3	10	0
CNDP2	10	0
CNGA3	10	1
CNGB3	10	0
CNNM1	10	0
CNTD1	10	0
COL27A1	10	1
COMT	10	1
COPS5	10	0
COPS6	10	0
COTL1P1	10	0
COX1	10	0
CPA4	10	0
CRABP1	10	0
CRADD	10	1
CRCP	10	0
CREB3	10	0
CRIP2	10	1
CRYAB	10	0
CSNK2A1	10	0
CSNK2B	10	0
CST1	10	0
CST2	10	0
CST4	10	0
CTNNA2	10	1
CTNNA3	10	0
CTNNB1	10	0
CTSD	10	0
CUL3	10	0
CUX1	10	1
CYB561A3	10	0
CYB5A	10	0
CYBC1	10	0
CYLD	10	0
CYP19A1	10	1
CYP1A2	10	1
CYP2C19	10	0
CYP2C9	10	0
CYP2D6	10	0
CYP2S1	10	0
CYP3A4	10	1
DAO	10	1
DAOA	10	0
DBH	10	1
DCAF1	10	0
DCDC1	10	1
DDX19B	10	0
DDX5	10	0
DHRS7	10	0
DICER1	10	1
DIPK1A	10	0
DKKL1	10	0
DMWD	10	0
DNAJB9	10	0
DNAJC18	10	0
